QUARTER,TIME_REMAINING,BOSTON_ACTION,GOLDEN STATE_ACTION,BOSTON_SCORE,GOLDEN STATE_SCORE
1,11:42.0,J. Tatum misses 2-pt jump shot from 21 ft,,0,0
1,11:40.0,,Defensive rebound by S. Curry,0,0
1,11:25.0,,A. Wiggins misses 3-pt jump shot from 27 ft,0,0
1,11:23.0,Defensive rebound by A. Horford,,0,0
1,11:15.0,J. Tatum misses 3-pt jump shot from 26 ft,,0,0
1,11:15.0,,Defensive rebound by Team,0,0
1,11:06.0,,S. Curry misses 3-pt jump shot from 26 ft,0,0
1,11:03.0,,Offensive rebound by K. Looney,0,0
1,11:02.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Looney),0,3
1,10:30.0,J. Brown misses 2-pt jump shot from 17 ft,,0,3
1,10:28.0,Offensive rebound by Team,,0,3
1,10:19.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by A. Horford),,3,3
1,10:01.0,,A. Wiggins makes 2-pt layup from 6 ft (assist by K. Looney),3,5
1,9:50.0,M. Smart makes 3-pt jump shot from 26 ft (assist by J. Tatum),,6,5
1,9:35.0,,K. Looney misses 2-pt jump shot from 16 ft,6,5
1,9:32.0,Defensive rebound by J. Brown,,6,5
1,9:23.0,M. Smart misses 3-pt jump shot from 23 ft,,6,5
1,9:21.0,,Defensive rebound by D. Green,6,5
1,9:17.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),6,8
1,9:00.0,Personal foul by A. Wiggins (drawn by J. Tatum),,6,8
1,8:51.0,M. Smart makes 3-pt jump shot from 27 ft (assist by J. Tatum),,9,8
1,8:35.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),9,10
1,8:17.0,M. Smart misses 3-pt jump shot from 27 ft,,9,10
1,8:15.0,,Defensive rebound by A. Wiggins,9,10
1,8:11.0,,A. Wiggins misses 2-pt jump shot from 6 ft (block by R. Williams),9,10
1,8:10.0,Defensive rebound by R. Williams,,9,10
1,8:10.0,Turnover by R. Williams (step out of bounds),,9,10
1,8:08.0,,A. Wiggins makes 2-pt layup from 5 ft (assist by S. Curry),9,12
1,7:53.0,Shooting foul by S. Curry (drawn by J. Tatum),,9,12
1,7:53.0,J. Tatum misses free throw 1 of 2,,9,12
1,7:53.0,Offensive rebound by Team,,9,12
1,7:53.0,J. Tatum misses free throw 2 of 2,,9,12
1,7:51.0,,Defensive rebound by K. Looney,9,12
1,7:31.0,,A. Wiggins makes 2-pt jump shot from 4 ft (assist by K. Thompson),9,14
1,7:23.0,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),,12,14
1,7:14.0,,S. Curry makes 3-pt jump shot from 27 ft,12,17
1,6:49.0,A. Horford misses 2-pt jump shot from 11 ft,,12,17
1,6:46.0,Offensive rebound by J. Brown,,12,17
1,6:43.0,R. Williams makes 2-pt dunk from 2 ft (assist by M. Smart),,14,17
1,6:17.0,,D. Green misses 3-pt jump shot from 26 ft,14,17
1,6:15.0,Defensive rebound by M. Smart,,14,17
1,6:05.0,A. Horford misses 3-pt jump shot from 25 ft,,14,17
1,6:03.0,,Defensive rebound by S. Curry,14,17
1,5:57.0,,S. Curry makes 3-pt jump shot from 29 ft,14,20
1,5:55.0,Boston full timeout,,14,20
1,5:55.0,D. White enters the game for J. Tatum,,14,20
1,5:55.0,G. Williams enters the game for R. Williams,,14,20
1,5:55.0,,J. Poole enters the game for D. Green,14,20
1,5:42.0,J. Brown makes 2-pt jump shot from 10 ft,,16,20
1,5:27.0,,S. Curry makes 3-pt jump shot from 28 ft,16,23
1,5:11.0,J. Brown misses 3-pt jump shot from 26 ft,,16,23
