HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,177,59,195,195
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,K. Looney,A. Wiggins,K. Thompson,D. Green,69,104,83,278
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,A. Wiggins,G. Payton,K. Thompson,D. Green,117,58,98,376
D. White,M. Smart,G. Williams,A. Horford,J. Brown,S. Curry,O. Porter,A. Wiggins,G. Payton,D. Green,198,49,116,492
D. White,M. Smart,G. Williams,A. Horford,J. Brown,S. Curry,J. Poole,K. Looney,O. Porter,G. Payton,54,108,53,545
D. White,M. Smart,G. Williams,R. Williams,J. Brown,S. Curry,J. Poole,K. Looney,O. Porter,G. Payton,221,147,39,584
D. White,J. Tatum,G. Williams,R. Williams,J. Brown,J. Poole,K. Looney,O. Porter,G. Payton,K. Thompson,77,128,112,714
D. White,J. Tatum,G. Williams,P. Pritchard,R. Williams,J. Poole,N. Bjelica,A. Wiggins,K. Thompson,D. Green,153,111,207,927
M. Smart,J. Tatum,P. Pritchard,R. Williams,J. Brown,S. Curry,J. Poole,A. Wiggins,K. Thompson,D. Green,185,92,31,958
M. Smart,J. Tatum,P. Pritchard,A. Horford,J. Brown,S. Curry,J. Poole,K. Looney,A. Wiggins,K. Thompson,190,152,151,1109
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,J. Poole,D. Green,A. Wiggins,K. Thompson,45,225,128,1237
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,D. Green,A. Wiggins,G. Payton,K. Thompson,157,0,55,1292
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,O. Porter,D. Green,A. Wiggins,K. Thompson,151,151,133,1425
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,S. Curry,K. Looney,D. Green,A. Wiggins,K. Thompson,102,136,169,1609
D. White,M. Smart,J. Tatum,A. Horford,J. Brown,S. Curry,O. Porter,D. Green,A. Wiggins,K. Thompson,61,147,235,1854
D. White,M. Smart,G. Williams,A. Horford,J. Brown,S. Curry,O. Porter,D. Green,A. Wiggins,K. Thompson,0,274,42,1896
D. White,J. Tatum,G. Williams,A. Horford,J. Brown,J. Poole,S. Curry,O. Porter,D. Green,K. Thompson,0,246,35,1961
M. Smart,J. Tatum,G. Williams,R. Williams,J. Brown,J. Poole,K. Looney,O. Porter,A. Wiggins,K. Thompson,133,99,173,2160
M. Smart,J. Tatum,G. Williams,P. Pritchard,R. Williams,J. Poole,S. Curry,D. Green,A. Wiggins,G. Payton,149,33,173,2333
M. Smart,J. Tatum,G. Williams,R. Williams,J. Brown,S. Curry,O. Porter,D. Green,A. Wiggins,K. Thompson,52,86,166,2499
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,S. Curry,O. Porter,D. Green,A. Wiggins,K. Thompson,161,0,89,2588
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,J. Poole,S. Curry,D. Green,A. Wiggins,K. Thompson,0,128,45,2633
M. Smart,J. Tatum,A. Horford,R. Williams,J. Brown,J. Poole,S. Curry,A. Wiggins,A. Iguodala,K. Thompson,106,53,108,2741
