HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,J. Tatum,J. Brown,M. Smart,R. Williams,A. Horford,157,110,365,365
K. Thompson,A. Wiggins,S. Curry,J. Poole,K. Looney,G. Williams,J. Brown,M. Smart,D. White,A. Horford,85,137,168,533
O. Porter,S. Curry,D. Green,A. Iguodala,J. Poole,G. Williams,J. Tatum,D. White,D. Theis,P. Pritchard,110,110,156,720
O. Porter,K. Thompson,D. Green,A. Iguodala,J. Poole,G. Williams,J. Tatum,D. White,D. Theis,P. Pritchard,170,127,203,923
O. Porter,K. Thompson,A. Wiggins,J. Poole,K. Looney,R. Williams,J. Brown,J. Tatum,M. Smart,A. Horford,123,164,70,1021
O. Porter,A. Wiggins,S. Curry,J. Poole,K. Looney,R. Williams,J. Brown,J. Tatum,M. Smart,A. Horford,0,146,118,1139
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,R. Williams,J. Brown,M. Smart,D. White,A. Horford,67,0,85,1224
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,J. Brown,J. Tatum,M. Smart,D. White,A. Horford,0,135,64,1288
O. Porter,K. Thompson,A. Wiggins,S. Curry,D. Green,J. Brown,J. Tatum,M. Smart,D. White,A. Horford,145,145,99,1387
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,R. Williams,J. Brown,J. Tatum,M. Smart,A. Horford,162,76,301,1741
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,G. Williams,J. Brown,J. Tatum,M. Smart,A. Horford,83,0,69,1810
K. Thompson,A. Wiggins,S. Curry,J. Poole,K. Looney,G. Williams,J. Tatum,M. Smart,D. White,A. Horford,80,53,108,1918
O. Porter,A. Wiggins,S. Curry,D. Green,J. Poole,G. Williams,J. Tatum,M. Smart,D. White,A. Horford,271,203,85,2003
O. Porter,A. Wiggins,S. Curry,D. Green,J. Poole,G. Williams,J. Brown,J. Tatum,R. Williams,D. White,82,82,105,2108
O. Porter,K. Thompson,A. Iguodala,D. Green,J. Poole,J. Brown,J. Tatum,R. Williams,D. White,P. Pritchard,0,139,145,2305
O. Porter,K. Thompson,S. Curry,A. Iguodala,D. Green,J. Brown,J. Tatum,R. Williams,D. White,P. Pritchard,143,159,181,2486
O. Porter,K. Thompson,A. Wiggins,S. Curry,K. Looney,J. Brown,J. Tatum,A. Horford,D. White,P. Pritchard,66,301,86,2572
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,J. Brown,J. Tatum,A. Horford,D. White,P. Pritchard,0,106,81,2653
K. Thompson,A. Wiggins,S. Curry,J. Poole,D. Green,M. Smart,J. Brown,J. Tatum,A. Horford,D. White,32,160,179,2832
K. Thompson,A. Wiggins,S. Curry,D. Green,K. Looney,J. Tatum,J. Brown,M. Smart,R. Williams,A. Horford,89,130,353,353
K. Thompson,S. Curry,G. Payton,D. Green,J. Poole,G. Williams,J. Brown,M. Smart,D. White,A. Horford,49,147,117,488
O. Porter,S. Curry,G. Payton,J. Poole,K. Looney,G. Williams,M. Smart,J. Tatum,D. White,A. Horford,177,0,65,553
O. Porter,S. Curry,G. Payton,J. Poole,K. Looney,G. Williams,J. Tatum,D. White,D. Theis,P. Pritchard,206,137,167,720
K. Thompson,N. Bjelica,A. Wiggins,D. Green,J. Poole,J. Brown,J. Tatum,D. White,D. Theis,P. Pritchard,0,132,65,839
K. Thompson,N. Bjelica,A. Wiggins,D. Green,J. Poole,R. Williams,J. Brown,J. Tatum,D. White,P. Pritchard,105,52,109,948
