HOME_ROSTER_0,HOME_ROSTER_1,HOME_ROSTER_2,HOME_ROSTER_3,HOME_ROSTER_4,AWAY_ROSTER_0,AWAY_ROSTER_1,AWAY_ROSTER_2,AWAY_ROSTER_3,AWAY_ROSTER_4,HOME_SCORE_NORM48,AWAY_SCORE_NORM48,TIME_ELAPSED,TIME_ENDING
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,157,110,365,365
A. Wiggins,K. Looney,K. Thompson,S. Curry,J. Poole,A. Horford,G. Williams,M. Smart,J. Brown,D. White,85,137,168,533
A. Wiggins,S. Curry,O. Porter,J. Poole,D. Green,A. Horford,G. Williams,M. Smart,J. Brown,D. White,92,0,31,564
S. Curry,O. Porter,J. Poole,A. Iguodala,D. Green,J. Tatum,P. Pritchard,D. Theis,G. Williams,D. White,110,110,156,720
K. Thompson,O. Porter,J. Poole,A. Iguodala,D. Green,J. Tatum,P. Pritchard,D. Theis,G. Williams,D. White,170,127,203,923
A. Wiggins,K. Thompson,O. Porter,J. Poole,D. Green,J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,0,0,28,951
A. Wiggins,K. Looney,K. Thompson,O. Porter,J. Poole,J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,123,164,70,1021
A. Wiggins,K. Looney,S. Curry,O. Porter,J. Poole,J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,0,146,118,1139
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,A. Horford,M. Smart,J. Brown,D. White,R. Williams,67,0,85,1224
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,0,135,64,1288
A. Wiggins,K. Thompson,S. Curry,O. Porter,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,145,145,99,1387
A. Wiggins,K. Thompson,O. Porter,J. Poole,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,0,54,53,1440
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,162,76,301,1741
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,G. Williams,M. Smart,J. Brown,83,0,69,1810
A. Wiggins,K. Looney,K. Thompson,S. Curry,J. Poole,J. Tatum,A. Horford,G. Williams,M. Smart,D. White,80,53,108,1918
A. Wiggins,D. Green,S. Curry,O. Porter,J. Poole,J. Tatum,A. Horford,G. Williams,M. Smart,D. White,271,203,85,2003
A. Wiggins,D. Green,S. Curry,O. Porter,J. Poole,J. Tatum,G. Williams,J. Brown,D. White,R. Williams,82,82,105,2108
D. Green,K. Thompson,S. Curry,O. Porter,J. Poole,P. Pritchard,G. Williams,J. Brown,D. White,R. Williams,180,180,16,2124
D. Green,K. Thompson,O. Porter,J. Poole,A. Iguodala,P. Pritchard,G. Williams,J. Brown,D. White,R. Williams,329,164,35,2159
D. Green,K. Looney,K. Thompson,J. Poole,A. Iguodala,P. Pritchard,G. Williams,J. Brown,D. White,R. Williams,0,5760,1,2160
D. Green,K. Thompson,O. Porter,J. Poole,A. Iguodala,J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,0,139,145,2305
D. Green,K. Thompson,S. Curry,O. Porter,A. Iguodala,J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,143,159,181,2486
A. Wiggins,K. Looney,K. Thompson,S. Curry,O. Porter,J. Tatum,A. Horford,P. Pritchard,J. Brown,D. White,66,301,86,2572
A. Wiggins,D. Green,K. Looney,K. Thompson,S. Curry,J. Tatum,A. Horford,P. Pritchard,J. Brown,D. White,0,106,81,2653
A. Wiggins,D. Green,K. Thompson,S. Curry,J. Poole,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,32,160,179,2832
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,89,130,353,353
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,A. Horford,G. Williams,M. Smart,J. Brown,D. White,320,0,18,371
G. Payton,K. Thompson,S. Curry,J. Poole,D. Green,A. Horford,G. Williams,M. Smart,J. Brown,D. White,49,147,117,488
K. Looney,G. Payton,S. Curry,O. Porter,J. Poole,J. Tatum,A. Horford,G. Williams,M. Smart,D. White,177,0,65,553
K. Looney,G. Payton,S. Curry,O. Porter,J. Poole,J. Tatum,P. Pritchard,D. Theis,G. Williams,D. White,206,137,167,720
A. Wiggins,N. Bjelica,K. Thompson,O. Porter,J. Poole,J. Tatum,P. Pritchard,D. Theis,J. Brown,D. White,0,0,54,774
A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,J. Tatum,P. Pritchard,D. Theis,J. Brown,D. White,0,132,65,839
A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,105,52,109,948
A. Wiggins,N. Bjelica,K. Thompson,S. Curry,D. Green,J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,0,0,33,981
A. Wiggins,N. Bjelica,K. Thompson,S. Curry,D. Green,A. Horford,P. Pritchard,J. Brown,D. White,R. Williams,0,342,42,1023
A. Wiggins,G. Payton,O. Porter,S. Curry,D. Green,J. Tatum,A. Horford,J. Brown,D. White,R. Williams,533,0,27,1050
A. Wiggins,G. Payton,O. Porter,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,86,98,233,1283
A. Wiggins,G. Payton,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,91,36,157,1440
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,131,43,263,1703
A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,J. Tatum,A. Horford,G. Williams,M. Smart,J. Brown,103,51,111,1814
A. Wiggins,G. Payton,O. Porter,S. Curry,D. Green,J. Tatum,A. Horford,G. Williams,M. Smart,D. White,87,131,131,1945
A. Wiggins,G. Payton,O. Porter,S. Curry,D. Green,J. Tatum,A. Horford,P. Pritchard,G. Williams,D. White,185,0,62,2007
A. Wiggins,G. Payton,O. Porter,S. Curry,D. Green,J. Tatum,P. Pritchard,D. Theis,G. Williams,D. White,221,0,39,2046
A. Wiggins,K. Looney,G. Payton,O. Porter,S. Curry,J. Tatum,P. Pritchard,D. Theis,G. Williams,D. White,0,82,35,2081
A. Wiggins,K. Looney,O. Porter,S. Curry,J. Poole,J. Tatum,P. Pritchard,D. Theis,G. Williams,D. White,291,36,79,2160
N. Bjelica,G. Payton,K. Thompson,J. Poole,D. Green,J. Tatum,A. Horford,M. Smart,J. Brown,D. White,230,0,75,2235
N. Bjelica,G. Payton,K. Thompson,J. Poole,D. Green,A. Nesmith,P. Pritchard,D. Theis,G. Williams,D. White,22,89,258,2493
K. Looney,G. Payton,K. Thompson,J. Poole,M. Moody,A. Nesmith,P. Pritchard,D. Theis,G. Williams,D. White,117,176,49,2542
K. Looney,G. Payton,K. Thompson,J. Poole,M. Moody,A. Nesmith,S. Hauser,P. Pritchard,D. Theis,G. Williams,117,70,123,2665
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,177,59,195,195
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,K. Looney,K. Thompson,S. Curry,D. Green,69,104,83,278
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,G. Payton,K. Thompson,S. Curry,D. Green,117,58,98,376
A. Horford,G. Williams,M. Smart,J. Brown,D. White,A. Wiggins,G. Payton,S. Curry,O. Porter,D. Green,198,49,116,492
A. Horford,G. Williams,M. Smart,J. Brown,D. White,K. Looney,G. Payton,S. Curry,O. Porter,J. Poole,54,108,53,545
G. Williams,M. Smart,J. Brown,D. White,R. Williams,K. Looney,G. Payton,S. Curry,O. Porter,J. Poole,221,147,39,584
J. Tatum,G. Williams,J. Brown,D. White,R. Williams,K. Looney,G. Payton,S. Curry,O. Porter,J. Poole,0,160,18,602
J. Tatum,G. Williams,J. Brown,D. White,R. Williams,K. Looney,G. Payton,K. Thompson,O. Porter,J. Poole,77,128,112,714
J. Tatum,P. Pritchard,J. Brown,D. White,R. Williams,K. Looney,G. Payton,K. Thompson,A. Iguodala,D. Green,0,480,6,720
J. Tatum,P. Pritchard,G. Williams,D. White,R. Williams,A. Wiggins,N. Bjelica,K. Thompson,J. Poole,D. Green,153,111,207,927
J. Tatum,P. Pritchard,M. Smart,J. Brown,R. Williams,A. Wiggins,K. Thompson,S. Curry,J. Poole,D. Green,185,92,31,958
J. Tatum,A. Horford,P. Pritchard,M. Smart,J. Brown,A. Wiggins,K. Looney,K. Thompson,S. Curry,J. Poole,190,152,151,1109
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,D. Green,K. Thompson,S. Curry,J. Poole,45,225,128,1237
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,D. Green,G. Payton,K. Thompson,S. Curry,157,0,55,1292
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,D. Green,K. Thompson,O. Porter,S. Curry,151,151,133,1425
J. Tatum,A. Horford,M. Smart,J. Brown,D. White,A. Wiggins,D. Green,G. Payton,K. Thompson,A. Iguodala,0,0,15,1440
J. Tatum,A. Horford,M. Smart,J. Brown,R. Williams,A. Wiggins,D. Green,K. Looney,K. Thompson,S. Curry,102,136,169,1609
