Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,25-175,BOS,,BRK,W (+1),1,39:44,9,19,.474,1,4,.250,4,6,.667,1,4,5,3,4,2,2,4,23,18.3,+10
2,2,2022-04-20,25-178,BOS,,BRK,W (+7),1,39:20,9,18,.500,2,6,.333,2,3,.667,0,4,4,6,3,0,4,2,22,16.2,+1
3,3,2022-04-23,25-181,BOS,@,BRK,W (+6),1,37:37,9,16,.563,1,4,.250,4,4,1.000,1,3,4,5,2,0,3,1,23,19.1,+3
4,4,2022-04-25,25-183,BOS,@,BRK,W (+4),1,37:56,9,20,.450,0,5,.000,4,5,.800,0,8,8,3,1,0,1,1,22,15.3,+4
5,5,2022-05-01,25-189,BOS,,MIL,L (-12),1,38:00,4,13,.308,3,9,.333,1,2,.500,2,7,9,4,2,0,7,4,12,3.8,-12
6,6,2022-05-03,25-191,BOS,,MIL,W (+23),1,38:13,11,18,.611,6,10,.600,2,2,1.000,2,4,6,6,2,1,2,1,30,28.9,+16
7,7,2022-05-07,25-195,BOS,@,MIL,L (-2),1,39:39,8,16,.500,1,5,.200,10,11,.909,0,12,12,4,0,1,4,3,27,20.5,-4
8,8,2022-05-09,25-197,BOS,@,MIL,W (+8),1,32:04,5,11,.455,2,5,.400,6,6,1.000,0,3,3,1,1,0,2,5,18,10.9,+5
9,9,2022-05-11,25-199,BOS,,MIL,L (-3),1,35:15,9,19,.474,3,7,.429,5,6,.833,2,6,8,6,0,1,2,3,26,20.8,-7
10,10,2022-05-13,25-201,BOS,@,MIL,W (+13),1,40:40,7,16,.438,4,7,.571,4,7,.571,2,3,5,4,0,1,2,2,22,15.4,+2
11,11,2022-05-15,25-203,BOS,,MIL,W (+28),1,36:46,8,16,.500,2,5,.400,1,4,.250,1,7,8,0,2,0,2,2,19,11.8,+15
12,12,2022-05-17,25-205,BOS,@,MIA,L (-11),1,42:47,7,17,.412,4,8,.500,6,10,.600,2,8,10,3,1,0,2,3,24,17.0,-10
13,13,2022-05-19,25-207,BOS,@,MIA,W (+25),1,33:15,9,17,.529,4,7,.571,2,2,1.000,2,6,8,3,0,0,1,4,24,18.4,+13
14,14,2022-05-21,25-209,BOS,,MIA,L (-6),1,41:45,14,20,.700,3,9,.333,9,12,.750,2,7,9,1,1,1,7,2,40,28.5,-6
15,15,2022-05-23,25-211,BOS,,MIA,W (+20),1,29:10,5,20,.250,1,6,.167,1,2,.500,2,5,7,2,0,0,1,5,12,0.9,+23
16,16,2022-05-25,25-213,BOS,@,MIA,W (+13),1,39:50,10,19,.526,5,9,.556,0,1,.000,0,4,4,1,1,1,4,3,25,13.7,+20
17,17,2022-05-27,25-215,BOS,,MIA,L (-8),1,41:08,6,13,.462,1,3,.333,7,9,.778,2,4,6,5,2,0,4,6,20,14.2,-9
18,18,2022-05-29,25-217,BOS,@,MIA,W (+4),1,43:38,8,15,.533,1,5,.200,7,8,.875,1,5,6,6,0,0,4,5,24,16.7,+8
19,19,2022-06-02,25-221,BOS,@,GSW,W (+12),1,38:00,10,23,.435,2,8,.250,2,2,1.000,2,5,7,5,2,1,4,1,24,16.6,+22
20,20,2022-06-05,25-224,BOS,@,GSW,L (-19),1,27:37,5,17,.294,3,9,.333,4,5,.800,0,6,6,3,0,0,2,3,17,7.4,-10
21,21,2022-06-08,25-227,BOS,,GSW,W (+16),1,39:40,9,16,.563,4,8,.500,5,6,.833,3,6,9,5,0,1,2,2,27,24.3,+7
22,22,2022-06-10,25-229,BOS,,GSW,L (-10),1,39:42,9,19,.474,2,6,.333,1,2,.500,2,4,6,2,1,0,2,5,21,11.9,0
