Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,35-318,BOS,,BRK,W (+1),1,41:29,8,13,.615,2,2,1.000,2,2,1.000,6,9,15,2,1,0,1,3,20,21.2,+8
2,2,2022-04-20,35-321,BOS,,BRK,W (+7),1,32:23,6,10,.600,3,6,.500,1,2,.500,1,5,6,2,2,1,0,6,16,14.9,+11
3,3,2022-04-23,35-324,BOS,@,BRK,W (+6),1,28:05,1,2,.500,1,2,.500,0,0,,1,2,3,3,0,2,1,3,3,4.6,+3
4,4,2022-04-25,35-326,BOS,@,BRK,W (+4),1,25:54,5,9,.556,3,5,.600,0,0,,2,4,6,1,0,0,1,4,13,9.4,+4
5,5,2022-05-01,35-332,BOS,,MIL,L (-12),1,36:24,4,11,.364,4,9,.444,0,0,,0,10,10,3,1,2,2,3,12,10.2,-4
6,6,2022-05-03,35-334,BOS,,MIL,W (+23),1,37:05,4,9,.444,1,5,.200,2,2,1.000,0,11,11,3,4,1,1,5,11,13.4,+14
7,7,2022-05-07,35-338,BOS,@,MIL,L (-2),1,39:09,9,17,.529,4,7,.571,0,0,,3,13,16,5,0,2,0,4,22,23.0,+2
8,8,2022-05-09,35-340,BOS,@,MIL,W (+8),1,41:36,11,14,.786,5,7,.714,3,4,.750,0,8,8,3,0,1,1,4,30,26.8,+20
9,9,2022-05-11,35-342,BOS,,MIL,L (-3),1,40:53,4,7,.571,0,2,.000,0,0,,1,7,8,6,3,1,1,3,8,13.2,-5
10,10,2022-05-13,35-344,BOS,@,MIL,W (+13),1,38:13,1,6,.167,0,4,.000,0,0,,2,8,10,3,1,4,1,1,2,6.5,+9
11,11,2022-05-15,35-346,BOS,,MIL,W (+28),1,39:39,2,7,.286,0,2,.000,2,2,1.000,1,9,10,6,0,1,0,3,6,9.0,+13
12,,2022-05-17,35-348,BOS,@,MIA,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12,2022-05-19,35-350,BOS,@,MIA,W (+25),1,32:37,4,4,1.000,2,2,1.000,0,0,,0,3,3,3,1,1,3,1,10,10.1,+16
14,13,2022-05-21,35-352,BOS,,MIA,L (-6),1,41:45,7,14,.500,3,5,.600,3,3,1.000,2,12,14,3,0,3,3,2,20,18.4,-7
15,14,2022-05-23,35-354,BOS,,MIA,W (+20),1,33:04,1,2,.500,1,1,1.000,2,2,1.000,2,11,13,3,0,4,0,2,5,12.8,+33
16,15,2022-05-25,35-356,BOS,@,MIA,W (+13),1,39:20,5,8,.625,1,3,.333,5,7,.714,0,7,7,5,1,2,1,0,16,18.6,+13
17,16,2022-05-27,35-358,BOS,,MIA,L (-8),1,32:52,1,8,.125,1,6,.167,0,0,,2,7,9,5,0,0,3,4,3,0.2,-14
18,17,2022-05-29,35-360,BOS,@,MIA,W (+4),1,44:02,2,9,.222,1,6,.167,0,0,,2,12,14,3,1,2,0,4,5,7.4,+10
19,18,2022-06-02,35-364,BOS,@,GSW,W (+12),1,32:42,9,12,.750,6,8,.750,2,3,.667,1,5,6,3,1,0,2,2,26,23.3,+9
20,19,2022-06-05,36-002,BOS,@,GSW,L (-19),1,27:38,1,4,.250,0,0,,0,0,,2,6,8,1,0,1,2,2,2,1.4,-15
21,20,2022-06-08,36-005,BOS,,GSW,W (+16),1,30:07,5,7,.714,1,2,.500,0,2,.000,3,5,8,6,1,1,0,3,11,15.6,+7
22,21,2022-06-10,36-007,BOS,,GSW,L (-10),1,28:05,2,6,.333,2,6,.333,2,2,1.000,0,6,6,4,0,1,1,3,8,7.7,-11
