Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,24-079,BOS,,BRK,W (+1),0,8:26,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,-7
2,2,2022-04-20,24-082,BOS,,BRK,W (+7),0,15:32,5,7,.714,0,2,.000,0,0,,0,4,4,1,0,0,1,1,10,7.6,+15
3,3,2022-04-23,24-085,BOS,@,BRK,W (+6),0,12:27,4,5,.800,2,3,.667,0,0,,0,0,0,1,1,0,0,2,10,9.0,+8
4,4,2022-04-25,24-087,BOS,@,BRK,W (+4),0,9:21,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-0.1,-8
5,5,2022-05-01,24-093,BOS,,MIL,L (-12),0,11:03,2,8,.250,2,8,.250,0,0,,1,1,2,0,0,0,0,1,6,1.8,-17
6,6,2022-05-03,24-095,BOS,,MIL,W (+23),0,23:42,2,6,.333,2,4,.500,0,0,,0,3,3,3,0,0,1,1,6,4.2,-2
7,7,2022-05-07,24-099,BOS,@,MIL,L (-2),0,10:38,0,3,.000,0,2,.000,0,0,,1,1,2,3,0,0,0,2,0,0.2,+5
8,8,2022-05-09,24-101,BOS,@,MIL,W (+8),0,13:10,0,2,.000,0,2,.000,0,0,,1,2,3,4,1,0,0,2,0,2.9,+14
9,9,2022-05-11,24-103,BOS,,MIL,L (-3),0,9:45,2,3,.667,0,1,.000,0,0,,0,2,2,1,0,0,0,0,4,4.0,+3
10,10,2022-05-13,24-105,BOS,@,MIL,W (+13),0,7:23,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,1,0,-0.4,-2
11,11,2022-05-15,24-107,BOS,,MIL,W (+28),0,17:01,5,7,.714,4,6,.667,0,0,,2,3,5,3,0,0,0,0,14,15.5,+14
12,12,2022-05-17,24-109,BOS,@,MIA,L (-11),0,30:23,6,16,.375,4,11,.364,2,2,1.000,1,4,5,4,1,0,1,2,18,13.1,-1
13,13,2022-05-19,24-111,BOS,@,MIA,W (+25),0,23:07,4,8,.500,2,6,.333,0,0,,0,2,2,2,1,0,0,2,10,8.2,+39
14,14,2022-05-21,24-113,BOS,,MIA,L (-6),0,13:17,1,1,1.000,1,1,1.000,0,0,,0,0,0,4,0,0,0,1,3,5.1,+7
15,15,2022-05-23,24-115,BOS,,MIA,W (+20),0,24:45,5,8,.625,3,6,.500,1,2,.500,0,2,2,3,1,1,1,4,14,11.8,-6
16,16,2022-05-25,24-117,BOS,@,MIA,W (+13),0,6:05,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-4
17,17,2022-05-27,24-119,BOS,,MIA,L (-8),0,3:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1
18,18,2022-05-29,24-121,BOS,@,MIA,W (+4),0,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
19,19,2022-06-02,24-125,BOS,@,GSW,W (+12),0,15:32,3,4,.750,2,3,.667,0,0,,1,5,6,2,0,0,0,1,8,9.6,+14
20,20,2022-06-05,24-128,BOS,@,GSW,L (-19),0,18:35,2,7,.286,0,3,.000,0,0,,2,2,4,2,1,0,1,0,4,3.3,-7
21,21,2022-06-08,24-131,BOS,,GSW,W (+16),0,9:47,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,1.7,+15
22,22,2022-06-10,24-133,BOS,,GSW,L (-10),0,10:04,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,1,0,1,-1.5,0
