Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,28-042,BOS,,BRK,W (+1),1,36:16,8,17,.471,4,9,.444,0,0,,2,5,7,6,2,0,3,4,20,15.8,+6
2,2,2022-04-20,28-045,BOS,,BRK,W (+7),1,35:41,3,9,.333,1,6,.167,5,6,.833,0,1,1,5,1,0,4,3,12,6.1,-1
3,3,2022-04-23,28-048,BOS,@,BRK,W (+6),1,38:07,6,15,.400,2,10,.200,0,0,,2,1,3,6,2,0,2,4,14,10.2,-5
4,4,2022-04-25,28-050,BOS,@,BRK,W (+4),1,36:47,7,16,.438,3,7,.429,3,4,.750,1,4,5,11,0,0,1,4,20,18.2,+9
5,5,2022-05-01,28-056,BOS,,MIL,L (-12),1,32:47,3,11,.273,1,6,.167,3,4,.750,0,1,1,6,2,0,3,3,10,5.4,+3
6,,2022-05-03,28-058,BOS,,MIL,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6,2022-05-07,28-062,BOS,@,MIL,L (-2),1,29:14,1,8,.125,1,4,.250,6,8,.750,1,1,2,2,1,0,3,3,9,2.2,-10
8,7,2022-05-09,28-064,BOS,@,MIL,W (+8),1,41:21,8,13,.615,2,3,.667,0,0,,0,2,2,8,0,2,3,3,18,15.5,+1
9,8,2022-05-11,28-066,BOS,,MIL,L (-3),1,38:15,6,11,.545,3,5,.600,0,0,,0,4,4,1,2,1,3,2,15,10.5,-6
10,9,2022-05-13,28-068,BOS,@,MIL,W (+13),1,40:12,8,16,.500,5,9,.556,0,0,,2,3,5,7,0,0,0,2,21,19.4,+11
11,10,2022-05-15,28-070,BOS,,MIL,W (+28),1,37:05,2,9,.222,1,6,.167,6,7,.857,1,6,7,10,1,1,2,5,11,12.3,+18
12,,2022-05-17,28-072,BOS,@,MIA,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,11,2022-05-19,28-074,BOS,@,MIA,W (+25),1,40:18,8,22,.364,5,12,.417,3,3,1.000,2,7,9,12,3,1,1,1,24,26.0,+31
14,12,2022-05-21,28-076,BOS,,MIA,L (-6),1,36:39,6,11,.545,1,4,.250,3,5,.600,1,3,4,7,0,0,4,6,16,10.0,-15
15,,2022-05-23,28-078,BOS,,MIA,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,13,2022-05-25,28-080,BOS,@,MIA,W (+13),1,23:42,1,5,.200,1,3,.333,2,2,1.000,1,4,5,4,0,0,1,4,5,4.0,+13
17,14,2022-05-27,28-082,BOS,,MIA,L (-8),1,40:25,4,15,.267,1,9,.111,5,5,1.000,1,3,4,3,1,0,2,4,14,6.2,-12
18,15,2022-05-29,28-084,BOS,@,MIA,W (+4),1,40:45,8,22,.364,3,10,.300,5,6,.833,0,9,9,5,2,0,1,4,24,17.0,+2
19,16,2022-06-02,28-088,BOS,@,GSW,W (+12),1,29:55,7,11,.636,4,7,.571,0,0,,1,4,5,4,2,0,0,1,18,19.4,-1
20,17,2022-06-05,28-091,BOS,@,GSW,L (-19),1,25:08,1,6,.167,0,3,.000,0,0,,0,2,2,5,1,0,5,4,2,-3.3,-12
21,18,2022-06-08,28-094,BOS,,GSW,W (+16),1,39:23,8,17,.471,3,7,.429,5,7,.714,2,5,7,5,0,0,5,3,24,14.7,+19
22,19,2022-06-10,28-096,BOS,,GSW,L (-10),1,39:57,7,18,.389,3,9,.333,1,1,1.000,2,2,4,5,4,0,2,2,18,14.9,-17
