Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,24-045,BOS,,BRK,W (+1),1,44:54,9,18,.500,3,7,.429,10,12,.833,1,3,4,8,1,2,5,4,31,24.2,+2
2,2,2022-04-20,24-048,BOS,,BRK,W (+7),1,41:04,5,16,.313,2,5,.400,7,8,.875,1,5,6,10,0,1,3,4,19,14.7,+11
3,3,2022-04-23,24-051,BOS,@,BRK,W (+6),1,44:37,13,29,.448,4,13,.308,9,10,.900,2,3,5,6,6,0,6,4,39,28.4,+4
4,4,2022-04-25,24-053,BOS,@,BRK,W (+4),1,36:22,9,16,.563,4,6,.667,7,8,.875,0,3,3,5,0,0,6,6,29,17.0,+10
5,5,2022-05-01,24-059,BOS,,MIL,L (-12),1,39:45,6,18,.333,4,9,.444,5,8,.625,2,4,6,6,2,0,3,4,21,13.8,-8
6,6,2022-05-03,24-061,BOS,,MIL,W (+23),1,42:34,10,20,.500,5,10,.500,4,5,.800,1,2,3,8,3,1,4,3,29,24.0,+21
7,7,2022-05-07,24-065,BOS,@,MIL,L (-2),1,41:20,4,19,.211,0,6,.000,2,3,.667,0,1,1,3,1,4,3,1,10,0.7,-5
8,8,2022-05-09,24-067,BOS,@,MIL,W (+8),1,41:48,11,24,.458,3,10,.300,5,6,.833,2,11,13,5,0,0,2,3,30,22.2,+9
9,9,2022-05-11,24-069,BOS,,MIL,L (-3),1,41:39,12,29,.414,2,11,.182,8,9,.889,1,5,6,4,1,1,1,3,34,22.6,-4
10,10,2022-05-13,24-071,BOS,@,MIL,W (+13),1,42:43,17,32,.531,7,15,.467,5,7,.714,0,9,9,4,0,1,4,2,46,31.0,+21
11,11,2022-05-15,24-073,BOS,,MIL,W (+28),1,36:30,7,14,.500,5,9,.556,4,5,.800,1,5,6,8,0,1,7,4,23,15.5,+15
12,12,2022-05-17,24-075,BOS,@,MIA,L (-11),1,44:01,10,21,.476,2,9,.222,7,9,.778,1,7,8,6,4,1,7,1,29,21.8,-8
13,13,2022-05-19,24-077,BOS,@,MIA,W (+25),1,31:32,8,13,.615,4,6,.667,7,7,1.000,0,5,5,5,1,0,3,2,27,23.3,+13
14,14,2022-05-21,24-079,BOS,,MIA,L (-6),1,40:44,3,14,.214,1,7,.143,3,4,.750,1,5,6,4,0,0,6,3,10,-1.2,-7
15,15,2022-05-23,24-081,BOS,,MIA,W (+20),1,33:51,8,16,.500,1,7,.143,14,16,.875,1,7,8,5,0,2,3,2,31,26.1,+37
16,16,2022-05-25,24-083,BOS,@,MIA,W (+13),1,44:25,7,20,.350,2,8,.250,6,8,.750,2,10,12,9,0,0,5,3,22,14.5,+17
17,17,2022-05-27,24-085,BOS,,MIA,L (-8),1,45:12,9,12,.750,4,7,.571,8,8,1.000,1,8,9,4,2,1,7,4,30,25.2,-6
18,18,2022-05-29,24-087,BOS,@,MIA,W (+4),1,45:34,9,21,.429,4,7,.571,4,5,.800,2,8,10,6,1,2,2,4,26,21.3,+7
19,19,2022-06-02,24-091,BOS,@,GSW,W (+12),1,41:35,3,17,.176,1,5,.200,5,7,.714,0,5,5,13,1,0,2,2,12,9.3,+16
20,20,2022-06-05,24-094,BOS,@,GSW,L (-19),1,34:18,8,19,.421,6,9,.667,6,8,.750,1,5,6,3,1,0,4,2,28,17.6,-36
21,21,2022-06-08,24-097,BOS,,GSW,W (+16),1,41:18,9,23,.391,3,9,.333,5,6,.833,1,5,6,9,1,0,2,2,26,19.8,+13
22,22,2022-06-10,24-099,BOS,,GSW,L (-10),1,42:40,8,23,.348,4,8,.500,3,5,.600,3,8,11,6,1,3,6,3,23,13.9,+1
