Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-17,27-289,BOS,,BRK,W (+1),0,27:54,3,8,.375,1,4,.250,0,0,,0,3,3,4,3,0,2,2,7,6.5,-3
2,2,2022-04-20,27-292,BOS,,BRK,W (+7),0,13:07,0,2,.000,0,1,.000,3,4,.750,1,2,3,1,0,0,0,3,3,2.0,-4
3,3,2022-04-23,27-295,BOS,@,BRK,W (+6),0,13:46,1,3,.333,0,2,.000,0,0,,0,6,6,1,1,0,1,1,2,2.4,+5
4,4,2022-04-25,27-297,BOS,@,BRK,W (+4),0,26:35,4,10,.400,0,4,.000,1,1,1.000,0,6,6,2,0,0,0,1,9,6.4,-2
5,5,2022-05-01,27-303,BOS,,MIL,L (-12),0,16:27,2,6,.333,2,3,.667,4,4,1.000,0,4,4,1,0,0,2,2,10,5.7,-8
6,6,2022-05-03,27-305,BOS,,MIL,W (+23),1,28:27,0,6,.000,0,4,.000,0,0,,1,3,4,5,1,0,2,5,0,-2.1,+22
7,7,2022-05-07,27-309,BOS,@,MIL,L (-2),0,20:36,3,6,.500,2,3,.667,6,8,.750,0,2,2,0,1,0,0,0,14,11.8,+9
8,8,2022-05-09,27-311,BOS,@,MIL,W (+8),0,34:18,4,6,.667,1,3,.333,2,2,1.000,1,3,4,3,0,1,0,2,11,12.0,+18
9,9,2022-05-11,27-313,BOS,,MIL,L (-3),0,32:07,4,5,.800,1,2,.500,0,0,,0,5,5,6,0,2,1,2,9,12.4,+8
10,10,2022-05-13,27-315,BOS,@,MIL,W (+13),0,29:46,3,9,.333,1,5,.200,2,2,1.000,2,3,5,2,2,0,0,3,9,8.4,+9
11,11,2022-05-15,27-317,BOS,,MIL,W (+28),0,18:13,1,10,.100,1,6,.167,0,0,,0,2,2,1,1,0,0,0,3,-1.3,+10
12,12,2022-05-17,27-319,BOS,@,MIA,L (-11),1,28:59,1,4,.250,0,1,.000,1,2,.500,0,0,0,4,0,1,2,4,3,0.1,-11
13,,2022-05-19,27-321,BOS,@,MIA,W (+25),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
14,13,2022-05-21,27-323,BOS,,MIA,L (-6),0,14:02,0,2,.000,0,0,,0,0,,1,1,2,1,0,2,0,1,0,1.3,-2
15,14,2022-05-23,27-325,BOS,,MIA,W (+20),1,40:52,4,14,.286,1,8,.125,4,6,.667,0,8,8,6,3,1,3,0,13,11.3,+15
16,15,2022-05-25,27-327,BOS,@,MIA,W (+13),0,29:09,6,8,.750,0,2,.000,2,3,.667,0,1,1,5,2,1,3,4,14,12.3,+8
17,16,2022-05-27,27-329,BOS,,MIA,L (-8),0,32:55,7,14,.500,4,7,.571,4,5,.800,0,3,3,5,3,1,0,4,22,21.1,+5
18,17,2022-05-29,27-331,BOS,@,MIA,W (+4),0,18:58,3,8,.375,2,3,.667,0,0,,1,2,3,1,0,1,3,3,8,2.1,-8
19,18,2022-06-02,27-335,BOS,@,GSW,W (+12),0,31:49,6,11,.545,5,8,.625,4,4,1.000,0,1,1,3,0,0,2,3,21,14.9,+25
20,19,2022-06-05,27-338,BOS,@,GSW,L (-19),0,30:15,4,13,.308,2,4,.500,2,2,1.000,1,3,4,2,1,2,3,2,12,6.1,-17
21,20,2022-06-08,27-341,BOS,,GSW,W (+16),0,23:35,3,9,.333,0,3,.000,1,1,1.000,0,1,1,2,1,1,1,2,7,3.5,-12
22,21,2022-06-10,27-343,BOS,,GSW,L (-10),0,35:33,4,12,.333,3,5,.600,5,5,1.000,0,1,1,1,1,0,3,0,16,8.2,-19
