Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-16,34-033,GSW,,DEN,W (+16),0,21:41,5,13,.385,3,6,.500,3,3,1.000,2,1,3,4,1,0,1,1,16,13.0,+17
2,2,2022-04-18,34-035,GSW,,DEN,W (+20),0,22:57,12,17,.706,5,10,.500,5,7,.714,0,3,3,4,1,1,2,3,34,28.3,+32
3,3,2022-04-21,34-038,GSW,@,DEN,W (+5),0,30:45,9,17,.529,3,9,.333,6,8,.750,0,3,3,6,0,0,4,3,27,17.8,+3
4,4,2022-04-24,34-041,GSW,@,DEN,L (-5),0,36:50,10,23,.435,3,11,.273,10,14,.714,0,3,3,8,4,1,2,1,33,28.1,-4
5,5,2022-04-27,34-044,GSW,,DEN,W (+4),1,37:51,10,22,.455,5,11,.455,5,7,.714,1,4,5,5,2,0,5,2,30,19.4,+7
6,6,2022-05-01,34-048,GSW,@,MEM,W (+1),1,37:06,8,20,.400,5,12,.417,3,4,.750,0,3,3,4,0,1,1,5,24,14.2,-9
7,7,2022-05-03,34-050,GSW,@,MEM,L (-5),1,39:27,11,25,.440,3,11,.273,2,2,1.000,3,6,9,8,1,0,5,1,27,19.0,-11
8,8,2022-05-07,34-054,GSW,,MEM,W (+30),1,34:42,7,14,.500,2,8,.250,14,14,1.000,0,2,2,6,1,0,1,2,30,27.0,+21
9,9,2022-05-09,34-056,GSW,,MEM,W (+3),1,37:42,10,25,.400,4,14,.286,8,9,.889,0,5,5,8,1,0,3,3,32,22.0,+6
10,10,2022-05-11,34-058,GSW,@,MEM,L (-39),1,25:00,4,10,.400,3,8,.375,3,4,.750,0,3,3,4,0,0,2,1,14,9.5,-37
11,11,2022-05-13,34-060,GSW,,MEM,W (+14),1,40:12,10,27,.370,6,17,.353,3,4,.750,0,7,7,5,1,2,3,3,29,17.5,+16
12,12,2022-05-18,34-065,GSW,,DAL,W (+25),1,30:44,7,16,.438,3,9,.333,4,7,.571,2,10,12,4,1,1,3,3,21,16.1,+23
13,13,2022-05-20,34-067,GSW,,DAL,W (+9),1,37:01,11,21,.524,6,10,.600,4,4,1.000,0,8,8,5,0,0,3,4,32,23.0,+15
14,14,2022-05-22,34-069,GSW,@,DAL,W (+9),1,39:01,10,20,.500,5,10,.500,6,6,1.000,1,4,5,11,0,0,3,5,31,25.6,+19
15,15,2022-05-24,34-071,GSW,@,DAL,L (-10),1,32:34,7,16,.438,2,5,.400,4,5,.800,0,5,5,8,1,0,2,2,20,16.5,-23
16,16,2022-05-26,34-073,GSW,,DAL,W (+10),1,34:50,5,17,.294,2,7,.286,3,3,1.000,0,3,3,9,3,1,2,2,15,13.2,+11
17,17,2022-06-02,34-080,GSW,,BOS,L (-12),1,38:17,12,25,.480,7,14,.500,3,4,.750,0,5,5,5,3,0,2,3,34,25.7,-9
18,18,2022-06-05,34-083,GSW,,BOS,W (+19),1,32:11,9,21,.429,5,12,.417,6,7,.857,0,6,6,4,3,0,2,2,29,22.3,+24
19,19,2022-06-08,34-086,GSW,@,BOS,L (-16),1,37:08,12,22,.545,6,11,.545,1,1,1.000,0,4,4,2,2,0,3,4,31,20.4,-14
20,20,2022-06-10,34-088,GSW,@,BOS,W (+10),1,40:41,14,26,.538,7,14,.500,8,9,.889,2,8,10,4,0,0,5,3,43,30.4,+11
