Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-16,22-301,GSW,,DEN,W (+16),1,30:06,9,13,.692,5,7,.714,7,8,.875,0,1,1,3,0,0,3,3,30,22.3,+7
2,2,2022-04-18,22-303,GSW,,DEN,W (+20),1,33:41,10,16,.625,5,10,.500,4,4,1.000,0,5,5,8,2,1,2,2,29,28.8,+7
3,3,2022-04-21,22-306,GSW,@,DEN,W (+5),1,33:46,9,13,.692,3,5,.600,6,9,.667,0,3,3,3,1,1,3,3,27,20.8,+3
4,4,2022-04-24,22-309,GSW,@,DEN,L (-5),1,38:34,3,10,.300,1,5,.200,4,4,1.000,2,0,2,9,3,0,3,2,11,12.1,-6
5,5,2022-04-27,22-312,GSW,,DEN,W (+4),1,25:41,3,10,.300,1,4,.250,1,1,1.000,0,1,1,4,1,0,1,5,8,3.3,-6
6,6,2022-05-01,22-316,GSW,@,MEM,W (+1),0,37:30,12,20,.600,5,10,.500,2,2,1.000,3,5,8,9,0,2,4,3,31,27.9,+10
7,7,2022-05-03,22-318,GSW,@,MEM,L (-5),0,33:45,8,16,.500,1,6,.167,3,3,1.000,1,2,3,5,0,0,3,5,20,11.8,+2
8,8,2022-05-07,22-322,GSW,,MEM,W (+30),0,31:10,11,17,.647,3,5,.600,2,2,1.000,0,4,4,2,0,0,2,1,27,19.7,+33
9,9,2022-05-09,22-324,GSW,,MEM,W (+3),0,32:14,4,12,.333,0,3,.000,6,6,1.000,1,5,6,5,0,0,4,3,14,7.7,+5
10,10,2022-05-11,22-326,GSW,@,MEM,L (-39),0,19:57,1,6,.167,1,3,.333,0,0,,0,1,1,3,1,1,4,3,3,-1.9,-34
11,11,2022-05-13,22-328,GSW,,MEM,W (+14),0,24:18,4,15,.267,2,11,.182,2,3,.667,0,3,3,2,0,1,2,0,12,3.7,-3
12,12,2022-05-18,22-333,GSW,,DAL,W (+25),0,26:19,8,12,.667,1,4,.250,2,2,1.000,1,1,2,3,1,0,1,5,19,14.9,+15
13,13,2022-05-20,22-335,GSW,,DAL,W (+9),0,28:48,7,10,.700,2,4,.500,7,7,1.000,0,1,1,5,2,0,3,2,23,20.8,+26
14,14,2022-05-22,22-337,GSW,@,DAL,W (+9),0,27:56,2,4,.500,2,4,.500,4,4,1.000,1,4,5,1,2,0,2,4,10,9.0,-6
15,15,2022-05-24,22-339,GSW,@,DAL,L (-10),0,28:36,5,10,.500,2,5,.400,2,2,1.000,0,0,0,4,0,1,1,6,14,9.1,+7
16,16,2022-05-26,22-341,GSW,,DAL,W (+10),0,28:26,6,8,.750,1,3,.333,3,3,1.000,0,6,6,6,1,0,3,3,16,15.6,-6
17,17,2022-06-02,22-348,GSW,,BOS,L (-12),0,25:01,2,7,.286,1,5,.200,4,4,1.000,0,2,2,2,0,0,4,1,9,2.5,-19
18,18,2022-06-05,22-351,GSW,,BOS,W (+19),0,22:38,6,14,.429,5,9,.556,0,0,,0,2,2,3,2,0,3,1,17,10.9,+7
19,19,2022-06-08,22-354,GSW,@,BOS,L (-16),0,24:28,4,8,.500,1,4,.250,1,2,.500,0,3,3,3,0,0,3,2,10,4.8,-6
20,20,2022-06-10,22-356,GSW,@,BOS,W (+10),0,20:33,6,13,.462,2,7,.286,0,0,,0,1,1,1,1,1,1,4,14,7.4,+2
