Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-16,28-317,GSW,,DEN,W (+16),0,25:05,2,6,.333,0,3,.000,0,0,,0,1,1,4,1,1,1,4,4,2.8,+21
2,2,2022-04-18,28-319,GSW,,DEN,W (+20),0,22:28,1,5,.200,1,4,.250,0,0,,2,2,4,2,0,1,0,1,3,3.6,+4
3,3,2022-04-21,28-322,GSW,@,DEN,W (+5),0,21:58,3,7,.429,0,3,.000,0,0,,0,3,3,3,2,0,2,3,6,4.1,+16
4,4,2022-04-24,28-325,GSW,@,DEN,L (-5),0,15:26,0,0,,0,0,,1,2,.500,0,3,3,0,0,0,2,4,1,-2.1,-16
5,5,2022-04-27,28-328,GSW,,DEN,W (+4),0,24:21,1,4,.250,1,3,.333,0,0,,1,4,5,2,0,0,0,1,3,3.5,+2
6,6,2022-05-01,28-332,GSW,@,MEM,W (+1),0,22:32,1,4,.250,0,1,.000,0,0,,2,6,8,4,2,0,0,2,2,6.8,+2
7,7,2022-05-03,28-334,GSW,@,MEM,L (-5),0,21:13,1,4,.250,0,1,.000,2,2,1.000,3,6,9,2,1,0,1,3,4,5.7,+17
8,8,2022-05-07,28-338,GSW,,MEM,W (+30),0,24:23,5,7,.714,3,5,.600,0,0,,1,3,4,3,1,2,2,2,13,13.4,+30
9,9,2022-05-09,28-340,GSW,,MEM,W (+3),0,25:33,4,7,.571,4,6,.667,0,0,,0,2,2,3,2,0,1,3,12,11.2,+4
10,10,2022-05-11,28-342,GSW,@,MEM,L (-39),0,12:17,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,0,2,0,-2.9,-8
11,,2022-05-13,28-344,GSW,,MEM,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,11,2022-05-18,28-349,GSW,,DAL,W (+25),0,23:25,5,7,.714,0,1,.000,0,0,,0,6,6,1,1,0,0,2,10,9.8,+16
13,12,2022-05-20,28-351,GSW,,DAL,W (+9),0,23:52,4,4,1.000,1,1,1.000,2,3,.667,1,6,7,4,1,1,1,2,11,14.6,+11
14,13,2022-05-22,28-353,GSW,@,DAL,W (+9),0,6:49,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-8
15,,2022-05-24,28-355,GSW,@,DAL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,2022-05-26,28-357,GSW,,DAL,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,14,2022-06-02,28-364,GSW,,BOS,L (-12),0,23:31,4,5,.800,4,5,.800,0,0,,0,4,4,0,2,0,1,0,12,12.3,-18
18,15,2022-06-05,29-002,GSW,,BOS,W (+19),0,14:52,1,1,1.000,1,1,1.000,0,0,,1,2,3,1,3,0,0,1,3,7.3,+24
19,16,2022-06-08,29-005,GSW,@,BOS,L (-16),0,21:07,2,3,.667,2,3,.667,0,0,,1,0,1,4,1,0,1,1,6,7.8,+4
20,17,2022-06-10,29-007,GSW,@,BOS,W (+10),1,14:30,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,1,2,1.2,-1
