Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-16,32-067,GSW,,DEN,W (+16),1,29:05,7,15,.467,5,10,.500,0,0,,0,3,3,2,0,0,3,2,19,9.8,+5
2,2,2022-04-18,32-069,GSW,,DEN,W (+20),1,35:48,9,19,.474,3,8,.375,0,0,,0,2,2,1,0,1,0,3,21,12.1,+13
3,3,2022-04-21,32-072,GSW,@,DEN,W (+5),1,37:27,10,18,.556,6,13,.462,0,0,,0,1,1,1,0,2,1,0,26,18.8,+2
4,4,2022-04-24,32-075,GSW,@,DEN,L (-5),1,30:42,12,20,.600,7,11,.636,1,2,.500,1,3,4,0,2,0,2,5,32,22.0,+9
5,5,2022-04-27,32-078,GSW,,DEN,W (+4),1,39:33,5,13,.385,1,6,.167,4,4,1.000,1,8,9,3,4,1,0,2,15,17.0,+6
6,6,2022-05-01,32-082,GSW,@,MEM,W (+1),1,30:34,6,19,.316,3,10,.300,0,2,.000,0,1,1,3,2,1,0,3,15,7.2,0
7,7,2022-05-03,32-084,GSW,@,MEM,L (-5),1,41:10,5,19,.263,2,12,.167,0,0,,0,2,2,3,3,0,1,2,12,4.6,-9
8,8,2022-05-07,32-088,GSW,,MEM,W (+30),1,35:04,8,14,.571,4,6,.667,1,1,1.000,0,9,9,4,0,0,2,1,21,17.5,+22
9,9,2022-05-09,32-090,GSW,,MEM,W (+3),1,38:25,6,20,.300,0,7,.000,2,2,1.000,1,6,7,2,1,2,3,0,14,5.7,-3
10,10,2022-05-11,32-092,GSW,@,MEM,L (-39),1,25:21,7,12,.583,3,6,.500,2,2,1.000,0,3,3,1,1,0,2,3,19,12.8,-45
11,11,2022-05-13,32-094,GSW,,MEM,W (+14),1,42:06,11,22,.500,8,14,.571,0,0,,1,7,8,2,0,3,3,2,30,21.5,+14
12,12,2022-05-18,32-099,GSW,,DAL,W (+25),1,34:34,7,13,.538,1,4,.250,0,0,,0,5,5,4,0,2,3,0,15,11.4,+20
13,13,2022-05-20,32-101,GSW,,DAL,W (+9),1,37:17,6,10,.600,1,4,.250,2,2,1.000,0,4,4,5,0,0,0,4,15,13.5,-9
14,14,2022-05-22,32-103,GSW,@,DAL,W (+9),1,39:02,6,18,.333,3,10,.300,4,4,1.000,0,7,7,3,0,0,0,2,19,12.2,+13
15,15,2022-05-24,32-105,GSW,@,DAL,L (-10),1,28:10,5,10,.500,2,6,.333,0,1,.000,0,1,1,1,2,0,0,2,12,8.8,-22
16,16,2022-05-26,32-107,GSW,,DAL,W (+10),1,37:20,12,25,.480,8,16,.500,0,0,,1,1,2,3,1,0,1,3,32,21.2,+18
17,17,2022-06-02,32-114,GSW,,BOS,L (-12),1,38:57,6,14,.429,3,7,.429,0,0,,1,1,2,3,0,0,0,0,15,10.7,-9
18,18,2022-06-05,32-117,GSW,,BOS,W (+19),1,30:27,4,19,.211,1,8,.125,2,2,1.000,0,3,3,1,2,0,2,1,11,0.5,0
19,19,2022-06-08,32-120,GSW,@,BOS,L (-16),1,39:02,7,17,.412,5,13,.385,6,6,1.000,0,3,3,3,1,1,0,1,25,20.2,-3
20,20,2022-06-10,32-122,GSW,@,BOS,W (+10),1,40:50,7,17,.412,4,10,.400,0,0,,1,1,2,1,1,2,1,4,18,10.4,+2
