Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022-04-16,27-052,GSW,,DEN,W (+16),1,29:29,6,11,.545,1,2,.500,3,4,.750,1,8,9,2,1,0,1,2,16,14.0,+16
2,2,2022-04-18,27-054,GSW,,DEN,W (+20),1,30:41,5,9,.556,2,3,.667,1,3,.333,2,6,8,2,1,1,1,2,13,12.4,+24
3,3,2022-04-21,27-057,GSW,@,DEN,W (+5),1,28:37,3,6,.500,2,4,.500,1,2,.500,1,5,6,1,1,0,1,2,9,7.7,-4
4,4,2022-04-24,27-060,GSW,@,DEN,L (-5),1,37:11,9,16,.563,1,3,.333,1,2,.500,3,3,6,1,2,2,1,2,20,17.3,+5
5,5,2022-04-27,27-063,GSW,,DEN,W (+4),1,23:33,4,9,.444,1,1,1.000,3,5,.600,0,5,5,2,0,1,2,2,12,7.3,0
6,6,2022-05-01,27-067,GSW,@,MEM,W (+1),1,34:22,6,14,.429,1,5,.200,4,7,.571,3,5,8,1,0,0,1,3,17,10.5,0
7,7,2022-05-03,27-069,GSW,@,MEM,L (-5),1,38:06,6,16,.375,1,7,.143,3,4,.750,5,4,9,2,1,1,3,3,16,10.4,+3
8,8,2022-05-07,27-073,GSW,,MEM,W (+30),1,25:39,7,10,.700,2,2,1.000,1,1,1.000,1,2,3,1,2,1,0,5,17,15.5,+3
9,9,2022-05-09,27-075,GSW,,MEM,W (+3),1,39:26,7,13,.538,1,5,.200,2,3,.667,5,5,10,1,1,2,2,0,17,16.4,+12
10,10,2022-05-11,27-077,GSW,@,MEM,L (-39),1,19:25,2,6,.333,1,3,.333,0,0,,0,1,1,0,0,1,1,3,5,0.4,-23
11,11,2022-05-13,27-079,GSW,,MEM,W (+14),1,41:18,7,16,.438,3,5,.600,1,2,.500,6,5,11,0,1,3,2,2,18,15.2,+20
12,12,2022-05-18,27-084,GSW,,DAL,W (+25),1,35:09,8,17,.471,3,8,.375,0,2,.000,1,4,5,3,1,1,2,3,19,12.0,+28
13,13,2022-05-20,27-086,GSW,,DAL,W (+9),1,38:00,5,14,.357,3,5,.600,3,6,.500,2,3,5,5,1,1,1,4,16,11.9,+16
14,14,2022-05-22,27-088,GSW,@,DAL,W (+9),1,39:49,11,20,.550,1,5,.200,4,5,.800,6,5,11,3,0,0,0,4,27,23.2,+22
15,15,2022-05-24,27-090,GSW,@,DAL,L (-10),1,30:32,5,11,.455,1,3,.333,2,2,1.000,3,2,5,1,0,0,0,3,13,9.5,-20
16,16,2022-05-26,27-092,GSW,,DAL,W (+10),1,40:03,7,16,.438,0,7,.000,4,4,1.000,3,7,10,2,1,0,1,1,18,14.8,+9
17,17,2022-06-02,27-099,GSW,,BOS,L (-12),1,34:55,8,15,.533,2,7,.286,2,2,1.000,1,4,5,0,1,3,1,3,20,15.5,-11
18,18,2022-06-05,27-102,GSW,,BOS,W (+19),1,30:30,4,12,.333,2,3,.667,1,2,.500,3,3,6,2,0,0,2,2,11,5.4,+19
19,19,2022-06-08,27-105,GSW,@,BOS,L (-16),1,40:22,7,16,.438,1,6,.167,3,4,.750,1,6,7,2,2,2,3,4,18,11.9,-16
20,20,2022-06-10,27-107,GSW,@,BOS,W (+10),1,43:25,7,17,.412,2,6,.333,1,2,.500,3,13,16,2,1,0,2,2,17,13.1,+20
